URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-agency-org-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.8",EMSAgencyOrgTypeVS,EMS Agency Organizational Type,"NEMSIS dAgency.13 - The organizational type of the EMS agency.","StructureDefinition/ems-organization","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-agency-service-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.9",EMSAgencyServiceTypeVS,EMS Agency Service Type,"NEMSIS dAgency.09/10 - The type(s) of EMS service provided by the agency.","StructureDefinition/ext-ems-agency-details","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-airbag-deployment,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.10",EMSAirbagDeploymentVS,EMS Airbag Deployment VS,"Airbag deployment status observed at the crash (eInjury.08).","StructureDefinition/ext-ems-injury-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-airway-complications,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.11",EMSAirwayComplicationsVS,EMS Airway Complications VS,"Complications encountered during airway management (eAirway.08).","StructureDefinition/ext-ems-airway-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-airway-confirmation-method,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.12",EMSAirwayConfirmationMethodVS,EMS Airway Confirmation Method VS,"Method used to confirm airway device placement (eAirway.04).","StructureDefinition/ext-ems-airway-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-airway-confirming-person,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.13",EMSAirwayConfirmingPersonVS,EMS Airway Confirming Person VS,"Type of individual who confirmed the airway device placement (eAirway.06).","StructureDefinition/ext-ems-airway-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-airway-device,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.14",EMSAirwayDeviceVS,EMS Airway Device VS,"Type of airway device being confirmed (eAirway.03).","StructureDefinition/ext-ems-airway-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-airway-failure-reasons,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.15",EMSAirwayFailureReasonsVS,EMS Airway Failure Reasons VS,"Reasons for failed airway management (eAirway.09).","StructureDefinition/ext-ems-airway-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-airway-indications,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.16",EMSAirwayIndicationsVS,EMS Airway Indications VS,"Indications for airway management intervention (eAirway.01).","StructureDefinition/ext-ems-airway-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-airway-technique,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.17",EMSAirwayTechniqueVS,EMS Airway Placement Technique,"NEMSIS eProcedures.14 - Technique used for airway device placement.","StructureDefinition/ext-ems-procedure-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-alcohol-drug-use,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.134",EMSAlcoholDrugUseVS,EMS Alcohol/Drug Use Indicators VS,"Indicators of potential patient alcohol or drug use (eHistory.17).","StructureDefinition/ext-ems-history-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-alternate-residence,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.18",EMSAlternateResidenceVS,EMS Alternate Home Residence,"NEMSIS ePatient.22 - Codes describing a patient's alternate home residence situation when a standard home address is not applicable.","StructureDefinition/ext-ems-alternate-residence","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-ambulance-conditions,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.19",EMSAmbulanceConditionsVS,EMS Ambulance Conditions Indicator VS,"CMS ambulance conditions indicators justifying medical necessity (ePayment.47).","StructureDefinition/ext-ems-ambulance-conditions","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-ambulance-transport-reason,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.20",EMSAmbulanceTransportReasonVS,EMS Ambulance Transport Reason VS,"CMS ambulance transport reason code (ePayment.44).","StructureDefinition/ext-ems-ambulance-transport-reason","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-arrest-end-event,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.21",EMSArrestEndEventVS,EMS End of Cardiac Arrest Event VS,"Disposition of the patient at the end of the EMS cardiac arrest event (eArrest.18).","StructureDefinition/ext-ems-arrest-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-arrest-etiology,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.22",EMSArrestEtiologyVS,EMS Arrest Etiology VS,"Etiology of the cardiac arrest event (eArrest.02).","StructureDefinition/ext-ems-arrest-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-arrest-first-responder,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.23",EMSArrestFirstResponderVS,EMS Arrest First Responder VS,"Who first performed CPR, applied the AED, or defibrillated the patient (eArrest.20/21/22).","StructureDefinition/ext-ems-arrest-context","Internal"
